LastRepaymentDate,total_farmers,total_land
,1334,867.0
"2011-01-10 00:00:00",1,0.75
"2011-01-19 00:00:00",5,3.0
"2011-01-25 00:00:00",1,0.5
"2011-01-26 00:00:00",1,0.5
"2011-02-01 00:00:00",1,0.5
"2011-02-02 00:00:00",2,1.0
"2011-02-03 00:00:00",1,0.5
"2011-02-08 00:00:00",2,1.5
"2011-02-09 00:00:00",3,2.0
"2011-02-10 00:00:00",2,2.0
"2011-02-15 00:00:00",5,3.0
"2011-02-16 00:00:00",1,1.0
"2011-02-18 00:00:00",9,5.5
"2011-02-20 00:00:00",22,14.0
"2011-02-21 00:00:00",7,4.5
"2011-02-22 00:00:00",3,1.5
"2011-02-23 00:00:00",8,5.25
"2011-02-24 00:00:00",3,2.5
"2011-02-26 00:00:00",4,2.0
"2011-02-28 00:00:00",1,0.5
"2011-03-02 00:00:00",5,3.0
"2011-03-03 00:00:00",6,3.25
"2011-03-08 00:00:00",12,8.25
"2011-03-12 00:00:00",2,1.0
"2011-03-13 00:00:00",27,17.5
"2011-03-19 00:00:00",7,4.5
"2011-03-20 00:00:00",28,21.0
"2011-03-23 00:00:00",3,2.5
"2011-03-24 00:00:00",3,3.0
"2011-03-25 00:00:00",8,5.5
"2011-03-26 00:00:00",6,3.5
"2011-03-27 00:00:00",20,13.25
"2011-03-29 00:00:00",5,2.5
"2011-03-30 00:00:00",2,1.0
"2011-03-31 00:00:00",8,6.5
"2011-04-01 00:00:00",21,14.0
"2011-04-05 00:00:00",1,0.5
"2011-04-07 00:00:00",37,27.75
"2011-04-08 00:00:00",10,6.0
"2011-04-14 00:00:00",80,55.5
"2011-04-15 00:00:00",23,17.75
"2011-04-19 00:00:00",73,59.25
"2011-04-20 00:00:00",120,79.5
"2011-04-26 00:00:00",18,10.25
"2011-04-27 00:00:00",23,16.75
"2011-04-29 00:00:00",70,44.5
"2011-05-03 00:00:00",115,83.25
"2011-05-10 00:00:00",29,23.5
"2011-05-12 00:00:00",185,127.25
"2011-05-13 00:00:00",19,11.5
"2011-05-17 00:00:00",20,13.0
"2011-05-21 00:00:00",221,161.75
"2011-05-22 00:00:00",182,116.75
"2011-05-25 00:00:00",341,232.5
"2011-05-26 00:00:00",211,148.25
"2011-05-31 00:00:00",623,437.5
"2011-06-01 00:00:00",216,168.25
"2011-06-08 00:00:00",1,0.5
"2011-06-11 00:00:00",81,54.75
"2011-06-14 00:00:00",493,346.0
